,title,contents
0,코로나 확진자 급증에 마스크·소독제 관련주 강세,코로나 바이러스(코로나19) 확진자가 600명 넘게 급증하면서 24일 마스크와 손소독제 관련 종목들이 강세를 보이고 있다. 이날 오전 9시 14분 현재 손소독제 원료 생산업체인 MH에탄올(023150)은 전날보다 16.36...
1,'코로나 쇼크'에 급락 출발…식품 관련주 강세,반면 코로나19 확산세로 식품 관련주들은 강세를 보이고 있습니다. 서울식품이 27% 넘게 급등하고 있습니다. 업종별 흐름을 살펴보면 거래소 시장에서는 종이목재업만이 상승하고 있습니다. 이 시각 현재 일본 증시는...
2,코로나19 치료제 소식 비씨월드제약 상한가 등 관련주 관심,"코로나 19 치료에 사용되는 약제에 대해 히드록시클로로퀸 등에 대한 급여 적용이 추가되면서 관련주도... 05%의 상승세를 보이고 있으며, 관련주로 항말라리아 치료제를 보유한 신풍제약도 4.78%의 상승했다...."
3,"[김대성의 종목분석] 한글과컴퓨터, 마스크 관련주로 분류될까?","한글과컴퓨터는 자회사에서 마스크를 생산하고 있지만 아직까지 마스크 관련주로는 분류되지 않고... 코로나19가 급속도로 확산되면서 마스크 관련주로 오공, 깨끗한 나라, 모나리자, 웰크론, 케이엠, 나노캠텍..."
4,코로나19 '심각' 상향…손소독제·마스크 등 관련주 '급등',코로나19 관련주는 상승세다. 24일 오전 9시11분 현재 백신 개발 기업인 진원생명과학은 전날보다 775원... 마스크 및 손소독제 관련주도 상승중이다. 오공 웰크론 모나리자 등이 1~2% 오르고 있고 국제약품은 4%대...
5,[5스타 오후 장 투자전략] 코로나19 확산 지속…관련주 대응 전략은?,"◇ 오늘장 특징업종 : 코로나19 관련주 - 코로나19 관련주 상승세 → 이번주 급등락 가능성 → 추격 매수 X, 변동성 생길시 매도 전략 ◇ 오후장 투자전략 - 코로나19 확진자 증가…지난 주 코스피 3% 하락 - 코스피..."
6,[특징주] 코로나19에 물류·배송 관련주 강세,코로나 바이러스 감염증(코로나19) 확산에 24일 장 초반 물류·배송 관련주가 강세다. 전염병 감염을 우려해 온라인을 통한 상품 구매가 확산되면서 관련 수혜가 기대되는 분야다. 이날 오전 9시 28분 기준...
7,"다날 인포뱅크 KG모빌리언스 주가 장중 급등, 전자결제 관련주 강세","다날, 인포뱅크, KG모빌리언스 주가가 장중 상승세를 이어가고 있다. 국내 코로나19 확진자가 늘면서 전자결제 관련 회사들의 주가가 강세를 보이고 있다. 다날 로고. 다날 주가는 24일 오전 11시35분 기준으로..."
8,[특징주] 코로나19 확산에 골판지 관련주 ‘강세’,"코로나19의 급격한 확산에 골판지주가 강세다. 24일 오전9시16분 현재 대림제지는 전 거래일 대비 21.53%오른 2,455원에 거래 중이다. 같은시각 태림포장역시 전 거래일 대비 17.41% 오른 5,260원에 거래되고 있다...."
9,코로나19 확산에 백신ㆍ손소독제 등 관련주 上,"［메디컬투데이 남연희 기자］ 신종 코로나바이러스감염증(코로나19) 확산에 백신, 손소독제 등 관련주가 상승세다. 24일 오전 10시10분 현재 백신 개발 기업인 진원생명과학은 전 거래일 대비 13.41%(655원) 오른..."
10,"다날 인포뱅크 KG모빌리언스 주가 장중 급등, 전자결제 관련주 강세","다날, 인포뱅크, KG모빌리언스 주가가 장중 상승세를 이어가고 있다. 국내 코로나19 확진자가 늘면서 전자결제 관련 회사들의 주가가 강세를 보이고 있다. 다날 로고. 다날 주가는 24일 오전 11시35분 기준으로..."
