,title,contents
0,"[1일 09시 제지 테마주 시황-오전] 한솔홀딩스,한국제지 등이 상승세 주도","제지 테마주, 관련 현황을 알아본다. 09시 34분 현재 제지주를 견인하고 있는 것은 한솔홀딩스 종목이다. 한솔홀딩스는 주당 5,100원의 거래가격으로 전일대비+2.10%의 등락률을 기록 제지테마주를 주도하고 있는..."
1,"[국내주간증시] 수산주 테마주 '사조산업' 14시 현재 51,500원 거래중","1일 14시 수산주 테마주 시황 브리핑 현재 수산주 테마주 '사조산업'은 현재가 51,500원을 기록중에 있다. 이는 전일대비 100원 만큼 상승한 상태이며, +0.19% 상승한 금액에 거래중이다. 사조산업에 더불어 상승한..."
2,움츠렸던 경협주…대표주냐 테마주냐,북미가 사실상 3차 정상회담을 진행하면서 남북 경협주에 다시 관심이 집중되고 있다. 경협주의 한 부분으로 개성공단 또는 DMZ 관련주 등이 상대적으로 높은 투자 수익을 얻을 수 있다는 점에서 주목됐다. 하지만 경협이...
3,"무역전 리스크 줄인 A주, 하반기 투자 키워드는 'MSCI 테마주'",특히 올해 상반기에는 A주의 MSCI 신흥지수 편입 비중 확대에 따라 수많은 외국 기관투자자들이 이른바 'MSCI 중국 테마주' 상장사에 대한 기업탐방에 적극적으로 나섰다. ◆ 외국 기관투자자 MSCI 중국 테마주 기업탐방...
4,"엔터테인먼트3사 주가 '일본 악재'로 하락, '방탄소년단 테마주' 혼조",'방탄소년단 테마주'는 엇갈렸다. 1일 JYP엔터테인먼트 주가는 직전 거래일보다 3.56%(850원) 떨어진... 방탄소년단 테마주는 혼조세를 보였다. 넷마블 주가는 11.06%(1만2500원) 급락한 10만500원에 거래를 마쳤다....
5,"[보험 테마주-마감] 동양생명,삼성생명 등이 상승세 견인중","7월 1일 월요일 보험 테마주 종가를 알아본다. 이 날 보험주를 견인한 것은 동양생명 종목이다. 동양생명은 주당 4,400원의 거래가격으로 전일대비+0.80%의 등락률을 기록 보험테마주를 주도한 것으로 알려졌다...."
6,"[스마트폰 부품주 테마주-마감] 솔브레인,LG이노텍 등이 주도","부품주 테마주 종가를 알아본다. 이 날 스마트폰 부품주주를 견인한 것은 솔브레인 종목이다. 솔브레인은 주당 49,450원의 거래가격으로 전일대비+4.66%의 등락률을 기록 스마트폰 부품주테마주를 주도한 것으로..."
7,"[금 관련주 테마주-마감] TIGER 금은선물(H),KODEX 은선물(H) 등이 상승세 주...","관련주 테마주 종가를 알아본다. 이 날 금 관련주주를 견인한 것은 TIGER 금은선물(H) 종목이다. TIGER 금은선물(H)은 주당 7,795원의 거래가격으로 전일대비-1.08%의 등락률을 기록 금 관련주테마주를 주도한..."
8,"[사료 테마주 시황-마감] 이지바이오,사조동아원 등이 상승세 주도","7월 1일 월요일 사료 테마주 종가를 알아본다. 이 날 사료주를 견인한 것은 이지바이오 종목이다. 이지바이오는 주당 5,970원의 거래가격으로 전일대비+2.05%의 등락률을 기록 사료테마주를 주도한 것으로 알려졌다...."
9,"[증시전망] 타이어 테마주 '금호타이어' 09시 현재 4,030원 기록","1일 09시 타이어 테마주 시황 브리핑 현재 타이어 테마주 '금호타이어'은 현재가 4,030원을 기록중에 있다. 이는 전일대비 60원 만큼 상승한 상태이며, +1.51% 상승한 금액에 거래중이다. 금호타이어에 더불어 상승한..."
10,"[타이어 테마주 시황-마감] 디티알오토모티브,금호타이어 등이 상승세 주도","7월 1일 월요일 타이어 테마주 종가를 알아본다. 이 날 타이어주를 견인한 것은 디티알오토모티브 종목이다. 디티알오토모티브는 주당 33,450원의 거래가격으로 전일대비+1.67%의 등락률을 기록 타이어테마주를..."
11,"[카지노 테마주-마감] 파라다이스,GKL 등이 상승세 주도","7월 1일 월요일 카지노 테마주 종가를 알아본다. 이 날 카지노주를 견인한 것은 파라다이스 종목이다. 파라다이스는 주당 16,650원의 거래가격으로 전일대비+2.15%의 등락률을 기록 카지노테마주를 주도한 것으로..."
12,"[1일 09시 LBS관련주 테마주 오전 시황] 팅크웨어,녹원씨엔아이 등이 주도...","LBS관련주 테마주, 관련 현황을 알아본다. 09시 35분 현재 LBS관련주주를 견인하고 있는 것은 팅크웨어 종목이다. 팅크웨어는 주당 8,430원의 거래가격으로 전일대비+1.69%의 등락률을 기록 LBS관련주테마주를..."
13,"[탄소 배출권 테마주 시황-마감] 후성,이건산업 등이 주도...","7월 1일 월요일 탄소 배출권 테마주 종가를 알아본다. 이 날 탄소 배출권주를 견인한 것은 후성 종목이다. 후성은 주당 7,460원의 거래가격으로 전일대비+9.87%의 등락률을 기록 탄소 배출권테마주를 주도한 것으로..."
14,"[1일 09시 PCB생산 테마주 오전 시황] 비에이치,LG이노텍 등이 주도...","PCB생산 테마주, 관련 현황을 알아본다. 09시 32분 현재 PCB생산주를 견인하고 있는 것은 비에이치 종목이다. 비에이치는 주당 19,850원의 거래가격으로 전일대비+6.72%의 등락률을 기록 PCB생산테마주를 주도하고..."
