번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트
1,60310,3S,32902,특수 목적용 기계 제조업,"44,802,511","22,401,255,500",500,원(KRW),02-896-9474,서울특별시 금천구  시흥대로71길 30-1 ,1410
2,54620,APS홀딩스,116409,기타 금융업,"20,394,221","10,197,110,500",500,원(KRW),031-776-1800,경기도 화성시 동탄면 동탄산단9길 23-12 (동탄면),1410
3,265520,AP시스템,32902,특수 목적용 기계 제조업,"14,480,227","7,240,113,500",500,원(KRW),031-379-2700,경기도 화성시  동탄면 동탄산단8길 15-5 &nbsp,1410
4,211270,AP위성,32604,통신 및 방송 장비 제조업,"15,014,804","7,507,402,000",500,원(KRW),02-2026-7800,서울특별시 금천구 가산디지털2로 98 IT캐슬 2동 9층 &nbsp,1410
5,35760,CJ ENM,106002,텔레비전 방송업,"21,929,154","110,577,370,000","5,000",원(KRW),02-2107-0114,서울특별시 서초구  과천대로 870-13 ,1410
6,51500,CJ프레시웨이,74603,음·식료품 및 담배 도매업,"11,871,586","11,871,586,000","1,000",원(KRW),02-2149-6007,경기도 용인시 기흥구  기곡로 32  ,1410
7,58820,CMG제약,32102,의약품 제조업,"138,892,244","69,446,122,000",500,원(KRW),02-3453-8816,서울특별시 강남구 도산대로66길 14 (청담동),1410
8,23460,CNH,116402,신탁업 및 집합투자업,"37,200,000","93,000,000,000","2,500",원(KRW),02-3287-0700,"경기도 부천시 원미구 상일로 120 411(상동,송내리더스텔)",1410
9,65770,CS,32604,통신 및 방송 장비 제조업,"18,835,150","9,417,575,000",500,원(KRW),031-622-3200,경기도 성남시 분당구 판교로228번길 15 윈스동 10층 (삼평동 판교세븐벤처밸리1),1410
10,83660,CSA 코스믹,32004,기타 화학제품 제조업,"37,072,045","18,536,022,500",500,원(KRW),02-483-0077,서울특별시 강남구 학동로30길 20 -,1410
11,322780,DB금융스팩7호,116601,금융 지원 서비스업,"4,550,000","455,000,000",100,원(KRW),02-369-3974,서울특별시 영등포구 국제금융로8길 32 DB금융투자 ,1410
12,68790,DMS,32902,특수 목적용 기계 제조업,"23,062,487","11,531,243,500",500,원(KRW),031-8031-1133,경기도 용인시 기흥구 흥덕중앙로 120 유타워 6층 (영덕동),1410
13,241520,DSC인베스트먼트,116402,신탁업 및 집합투자업,"18,219,383","9,109,691,500",500,원(KRW),02-3453-3190,서울특별시 성동구 뚝섬로1길 10 (성수동1가) 3층,1410
14,245620,EDGC,137001,자연과학 및 공학 연구개발업,"36,172,940","3,617,294,000",100,원(KRW),327132140,"인천광역시 연수구 하모니로 291, 4층 &nbsp",1410
15,37370,EG,74607,기타 전문 도매업,"7,500,000","7,500,000,000","1,000",원(KRW),041 -750 -7777,충청남도 금산군 추부면 서대산로 459 ,1410
16,79190,EMW,32604,통신 및 방송 장비 제조업,"31,784,197","15,892,098,500",500,원(KRW),02-2107-5500,"인천광역시 남동구  남동서로 155 (고잔동, 남동공단80블럭4로트)",1410
17,130500,GH신소재,31309,기타 섬유제품 제조업,"11,000,000","5,500,000,000",500,원(KRW),054-460-8100,경상북도 구미시  1공단로4길 141-54 ,1410
18,900290,GRT,116409,기타 금융업,"67,375,000","770,089,223",0,중국위안(CNY),85236458129,"Room 01, 21F, Prosper Commercial Building, 9 Yin Chong Street, Kowloon, Hong Kong ",1410
19,83450,GST,32902,특수 목적용 기계 제조업,"9,317,745","4,658,872,500",500,원(KRW),031-371-2200,경기도 화성시 동탄면 동탄산단6길 15-13 ,1410
20,28150,GS홈쇼핑,106002,텔레비전 방송업,"6,562,500","32,812,500,000","5,000",원(KRW),02-2007-4153,서울특별시 영등포구  선유로 75 GS강서타워 (문래동6가),1410
