번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트
1,95570,AJ네트웍스,147603,산업용 기계 및 장비 임대업,"46,822,295","46,822,295,000","1,000",원(KRW),02-6363-9999,"서울특별시 송파구 정의로8길 9 (문정동,AJ빌딩)",795
2,6840,AK홀딩스,116409,기타 금융업,"13,247,561","66,237,805,000","5,000",원(KRW),02-768-2923,서울특별시 마포구 양화로 188 - ,795
3,27410,BGF,116409,기타 금융업,"95,716,791","95,716,791,000","1,000",,1577-3663,서울특별시 강남구 테헤란로 405 ,795
4,282330,BGF리테일,74701,종합 소매업,"17,283,906","17,283,906,000","1,000",원(KRW),02-1577-8007,서울특별시 강남구 테헤란로 405 BGF사옥,795
5,138930,BNK금융지주,116409,기타 금융업,"325,935,246","1,629,676,230,000","5,000",원(KRW),051-620-3023,부산광역시 남구 문현금융로 30(문현동) ,795
6,1460,BYC,31401,봉제의복 제조업,"624,615","4,200,000,000","5,000",원(KRW),02-840-3175,서울특별시 영등포구 도림천로21길 3 ,795
7,1040,CJ,116409,기타 금융업,"29,176,998","179,047,370,000","5,000",원(KRW),02-726-8114,"서울특별시 중구 소월로2길 12 (남대문로5가, CJ THE CENTER) ",795
8,79160,CJ CGV,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","21,161,313","10,580,656,500",500,원(KRW),02-371-6660,서울특별시 용산구 한강대로23길 55 아이파크몰 6층(한강로동) ,795
9,120,CJ대한통운,84903,도로 화물 운송업,"22,812,344","114,061,720,000","5,000",원(KRW),02-3782-0114,서울특별시 중구  세종대로9길 53 ,795
10,11150,CJ씨푸드,31007,기타 식품 제조업,"35,930,773","18,065,386,500",500,원(KRW),031-730-9114,경기도 성남시 중원구  둔촌대로388번길 32 (상대원동),795
11,97950,CJ제일제당,31007,기타 식품 제조업,"15,054,186","81,908,095,000","5,000",원(KRW),726-8114,서울특별시 중구  동호로 330 ,795
12,590,CS홀딩스,116409,기타 금융업,"1,154,482","5,772,410,000","5,000",원(KRW),02-3459-9363,경상북도 포항시 남구 괴동로 43 (장흥동),795
13,12030,DB,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","201,173,933","100,586,966,500",500,원(KRW),02-2136-6000,서울특별시 강남구 삼성로96길 23 7층,795
14,16610,DB금융투자,116601,금융 지원 서비스업,"42,446,389","212,231,945,000","5,000",원(KRW),02-369-3000,서울특별시 영등포구 국제금융로8길 32 동부증권빌딩,795
15,5830,DB손해보험,116501,보험업,"70,800,000","35,400,000,000",500,원(KRW),02-1588-0100,서울특별시 강남구  테헤란로 432 ,795
16,990,DB하이텍,32601,반도체 제조업,"44,398,588","222,554,520,000","5,000",원(KRW),02-3484-2888,경기도 부천시 수도로 90 (주)DB하이텍,795
17,139130,DGB금융지주,116409,기타 금융업,"169,145,833","845,729,165,000","5,000",원(KRW),537407900,대구광역시 북구 옥산로 111 대구은행 제2본점 9층,795
18,4840,DRB동일,116409,기타 금융업,"19,930,000","9,965,000,000",500,원(KRW),051-520-9000,부산광역시 금정구 공단동로55번길 28 ,795
19,155660,DSR,32402,1차 비철금속 제조업,"16,000,000","8,000,000,000",500,원(KRW),02-3420-3591,부산광역시 강서구 녹산산업중로192번길 7 ,795
20,69730,DSR제강,32401,1차 철강 제조업,"14,400,000","7,200,000,000",500,원(KRW),061-752-0121,전라남도 순천시  서면 산단1길 15 ,795
21,17940,E1,74607,기타 전문 도매업,"6,860,000","34,300,000,000","5,000",원(KRW),02-3441-4114,서울특별시 용산구 한강대로 92 LS용산타워,795
22,7700,F&F,31401,봉제의복 제조업,"15,400,000","7,700,000,000",500,원(KRW),02-520-0001,"서울특별시 강남구  언주로 541(역삼동,외 에프앤에프빌딩) ",795
23,114090,GKL,189102,유원지 및 기타 오락관련 서비스업,"61,855,670","30,927,835,000",500,원(KRW),3466-6209,서울특별시 강남구 삼성로 610 삼성동,795
24,78930,GS,116409,기타 금융업,"92,915,378","473,501,020,000","5,000",원(KRW),-,서울특별시 강남구 논현로 508 ,795
25,6360,GS건설,64101,건물 건설업,"80,097,804","400,489,020,000","5,000",원(KRW),02-2154-1112,서울특별시 종로구 종로 33 그랑서울,795
26,1250,GS글로벌,74608,상품 종합 도매업,"82,533,764","206,334,410,000","2,500",원(KRW),02-2005-5300,서울특별시 강남구 논현로 508 GS강남타워 ,795
27,7070,GS리테일,74701,종합 소매업,"77,000,000","77,000,000,000","1,000",원(KRW),02-2005-1114,서울특별시 강남구 논현로 508GS타워(역삼동 679) ,795
28,12630,HDC,116409,기타 금융업,"59,741,721","298,708,605,000","5,000",원(KRW),02-2008-9114,서울특별시 강남구 영동대로 520 아이파크타워,795
29,39570,HDC아이콘트롤스,64203,전기 및 통신 공사업,"16,460,000","8,230,000,000",500,원(KRW),031-785-1711,경기도 성남시 분당구 정자일로213번길 5 ,795
30,89470,HDC현대EP,32004,기타 화학제품 제조업,"31,900,000","17,200,000,000",500,원(KRW),041-350-0500,충청남도 당진시  석문면 대호만로 1221-32 현대EP 주식회사,795
31,294870,HDC현대산업개발,64101,건물 건설업,"65,907,330","329,536,650,000","5,000",원(KRW),02-2008-9114,서울특별시 용산구 한강대로23길 55 현대아이파크몰 9층 ,795
32,11200,HMM,85001,해상 운송업,"316,552,195","1,582,760,975,000","5,000",원(KRW),02-3706-5114,서울특별시 종로구  율곡로 194 ,795
33,82740,HSD엔진,32901,일반 목적용 기계 제조업,"32,947,142","32,947,142,000","1,000",원(KRW),055-260-6000,경상남도 창원시 성산구 공단로 67 (신촌동),795
34,175330,JB금융지주,116409,기타 금융업,"196,982,894","984,914,470,000","5,000",원(KRW),02-2128-2727,전라북도 전주시 덕진구  백제대로 566 ,795
35,234080,JW생명과학,32102,의약품 제조업,"15,834,554","39,586,385,000","2,500",원(KRW),041-351-7600,충청남도 당진시 송악읍 한진1길 28 ,795
36,1060,JW중외제약,32102,의약품 제조업,"20,920,054","52,956,972,500","2,500",원(KRW),02-840-6777,서울특별시 서초구  남부순환로 2477 ,795
37,96760,JW홀딩스,116409,기타 금융업,"66,452,155","33,226,077,500",500,원(KRW),02-840-6777,서울특별시 서초구  남부순환로 2477 ,795
38,105560,KB금융,116409,기타 금융업,"415,807,920","2,090,557,685,000","5,000",원(KRW),02-2073-7114,"서울특별시 영등포구 국제금융로8길 26 (여의도동, 국민은행 여의도본점)",795
39,9440,KC그린홀딩스,116409,기타 금융업,"22,434,980","11,217,490,000",500,원(KRW),02-320-6311,서울특별시 마포구 상암산로 34디지털큐브 12층 ,795
40,119650,KC코트렐,32901,일반 목적용 기계 제조업,"13,000,000","6,500,000,000",500,원(KRW),02-3206-311,서울특별시 마포구 상암산로 34디지털큐브 12층 ,795
41,92220,KEC,32601,반도체 제조업,"116,706,940","58,353,470,000",500,원(KRW),02-2025-5000,서울특별시 서초구  마방로10길 5 ,795
42,16380,KG동부제철,32401,1차 철강 제조업,"100,008,897","500,311,410,000","5,000",원(KRW),02-3450-8027,서울특별시 중구 한강대로 416 서울스퀘어 7층,795
43,1390,KG케미칼,32001,기초 화학물질 제조업,"13,013,232","67,374,405,000","5,000",원(KRW),052-231-1842,울산광역시 울주군 온산읍 당월로 322 ,795
44,1940,KISCO홀딩스,32401,1차 철강 제조업,"18,476,380","18,476,380,000","1,000",원(KRW),055-260-0500,경상남도 창원시 성산구  공단로103번길 12 한국철강(주) ,795
45,25000,KPX케미칼,32001,기초 화학물질 제조업,"4,840,000","24,200,000,000","5,000",원(KRW),02-2014-4000,서울특별시 마포구  마포대로 137  KPX빌딩,795
46,92230,KPX홀딩스,32001,기초 화학물질 제조업,"4,224,646","21,123,230,000","5,000",원(KRW),02-2014-4150,서울특별시 마포구  마포대로 137 KPX빌딩 19층,795
47,40,KR모터스,33109,그외 기타 운송장비 제조업,"91,661,018","45,830,509,000",500,원(KRW),055-282-7011,경상남도 창원시 성산구 완암로 28 　,795
48,44450,KSS해운,85001,해상 운송업,"23,185,880","11,592,940,000",500,원(KRW),3702-2700,서울특별시 종로구 인사동길 12 대일빌딩 8층 ,795
49,30210,KTB투자증권,116601,금융 지원 서비스업,"60,314,092","301,570,460,000","5,000",원(KRW),02-2184-2000,서울특별시 영등포구  여의대로 66 KTB빌딩,795
50,58850,KTcs,106309,기타 정보 서비스업,"42,685,000","23,842,500,000",500,원(KRW),042-604-5138,대전광역시 서구 갈마로 160 ,795
51,58860,KTis,106309,기타 정보 서비스업,"34,802,000","17,401,000,000",500,원(KRW),02-3215-2054,서울특별시 영등포구 여의대로 14 케이티빌딩 10층,795
