,theme,vector
0,방탄소년단,"[  3702.71361866  -3071.0111137   -1349.91960722   4532.28535742
   7942.64158364  -6030.86367635   5575.13885686  -4092.75783022
  -1294.11711123  -5305.65364727  -2367.40873868   1679.12535456
  -5064.50890009    637.33389661   -887.8326447    9565.52846732
   5444.31494496  -4628.08045577   3035.52869635   8602.18743529
  -1687.28308117   9277.67903305  -5564.48254297  -2635.66547271
   5918.87776      2349.25888622  -6165.69405881   8774.95922947
  -9930.05663756  -1576.53313507   1625.04799567   -485.12418067
  -3608.69368571    883.24456887  15108.56441067   1785.97573841
  -5798.07727775   5397.25384841   1530.05945823   4811.06906475
  -3825.08639147  -6174.09684222  11079.38778989  -3741.64347074
   4656.76197029  -3834.55276829   7377.44983312  -5346.72100398
   1483.01771843   5297.05689574  -3927.63766962  -6445.80786151
   9821.19640502  -7622.01016027  -7140.56337425   7460.92260549
   5141.3079709    6946.93553429   1822.64092735  -8301.03939488
   2548.88834805  -5778.60141488   7789.76632463   7218.85558845
 -10855.99847517  10587.94384011 -11209.57947841   2283.55607357
  10515.59023142  -2875.46765067   3729.37325613  -6742.18754508
   2352.23775065  10330.03408456   4646.15374458  -2730.63594377
  -5988.02549207  -1894.95936711   5546.48112836   3762.15086278
 -10946.93936993   -534.5030693   -5897.60884732  -5865.63716565
   7281.69506984   6504.71719115  -8577.58993352  -2223.67572124
  -4400.00407592   8702.24952653  -4303.53718124  -9229.25969998
  -7114.65933516  10120.2997898     747.06090636  -5966.48994082
   7483.54283073   4618.62428133  -2849.42701425   1966.54609477]"
1,5G,"[-11977.931703   -26162.11734265   8387.82954793  25806.1549818
   4541.01262      9628.86991786   7139.46606759 -12367.66225851
  -9445.46339061   2761.18593351  14722.7229591    7767.17555613
  13433.64485102  15101.01638967 -13691.91412742  19509.71228776
   7962.97232318  -9623.49302249  24147.29263921  11636.98884637
  -7307.46028705   5722.75555397   5702.50259298  -3840.72273487
  11759.70301366 -10980.49292377  -5866.5426802    4194.13631015
   9804.87730262  -7021.89224854   9497.26198272    380.37120556
  16143.36270367  -7504.00923525   5206.887077    -6321.27543648
   9606.27367464  -2935.48368838  -9792.04663919   8463.30281962
 -22392.74871888   1973.7881782    8294.5750577  -19096.91529619
   3175.3426661   16369.89491262 -18341.03970052  11398.68488083
  10436.16659404  -4222.67854766   8029.44944807   -887.44900998
   3258.62459296  -8108.17925774    743.6750356    8449.15201615
  14337.36911239   3584.32770187  12289.12665557 -28941.81898923
  -3443.36484063 -28876.88512497  -9614.81293451 -11993.46618222
 -13206.23827514  35185.92851617   2144.47801895  -2780.54647741
   8520.56408525  -4980.01955401 -15085.56468917 -13701.19744107
   4046.69132787  21024.72976478  20318.38269288  -5687.06861701
 -20757.21751967  -2850.87860535  11120.75590352     86.75998068
 -14099.73014842  -1333.91284232  -5710.00865041   1952.6337364
   5158.91383581   -619.39192026 -21874.6691109  -19855.97027339
 -14021.24148937  11125.1157651   14272.61449522 -15905.35716514
    492.2950733   -3136.1881512    -170.84564544   4015.46228069
   7358.97038422  15153.69790885   -745.03933781   1424.82396297]"
2,보톡스,"[-16138.66398151 -16810.15494401   3756.15538292   9574.94290989
   -934.24031294  -3757.73991422  -9948.56702547 -14238.46257375
 -13098.66124986 -12342.74703918   2690.68743266  -5216.101765
  11294.31543799  15988.53611972 -11948.70977572   4494.12003591
   2412.65996247 -15734.05761996  19869.16636705  11995.38201835
   4689.93368884   5276.10905177  -9910.16246684   7461.52279542
   1182.91031302   2037.26366839 -10871.94633323   4268.13986206
  14657.41080845  -2484.81928679 -16929.73757297  -1907.05281065
  10696.6490003  -15522.98796982  11324.46128328  -3898.00552745
  -5169.21459426   9625.96251437   2768.58582448  10699.83233876
   -415.18048971 -14614.65440418  25756.50288236  -7243.35343386
 -12874.84310618   7466.90253462 -17794.17797732   3764.56016704
    706.01404134   6014.1417392   20452.09607171  -4505.4924857
 -14580.65545641  -4268.80954884  13854.78137193   7260.54544256
  -2935.09465337   1382.12088865 -17836.79984931 -14040.05373727
   9308.65398661 -17838.59249881  -1067.74221439   -485.19698939
 -11987.77338047  27273.6721639     -78.7414248   -7189.12348656
  -6858.27065353   8756.42209229   1834.23682275  15600.94964639
   3551.48304039  22224.02035002  23946.80464175   6846.46148034
 -11460.91540498  15800.69852092  -7294.02734886   1395.65121192
 -16446.47288593  -9009.77697466  -3135.7038759    3600.96277018
  19011.26292807  10830.74158425 -25218.33557648 -18037.54795646
  -3710.76156287  16219.39697194  18388.92002832 -17410.47672299
  -3655.19570747 -21550.23276172  -7427.2330184    9222.22567472
  10015.25474573  10363.81139965   2495.9426238   -3503.64474086]"
3,마스크,"[ -5406.00566113  -6923.9383927    -450.77838196   8337.33925025
   -198.8532596    -515.08558102  -9809.83081914  -6586.70907618
  -1460.40161763  -6567.18019662  -5431.41825325   7464.34716606
  -3745.85028434   5837.82692113  -1353.08508707   7583.27603702
  -6309.37616293  -2417.46636629   7887.94964565   2686.32368649
   7091.62799735  -7259.66030428 -14868.81911759   -144.76859455
   5667.67220506  -6181.00159602  -5306.83808425   3343.99049801
  18692.52290354  -5933.90620641  -1419.3626024    8038.01942382
  17537.93671556   -720.75423533  15008.22230562  10792.61163834
    959.62580875   6489.41961814   9395.42036629   9064.62133223
 -16332.05964072 -12649.64909306   5406.1737555    2077.82274216
 -12546.13259503   5149.57385692 -12660.97461162  -1223.22436492
   2841.80948156   3856.05315339   5404.84210029   7918.43467929
  -8666.35609172    365.82258105   5575.32260236   2643.40064242
   9081.95071493   3070.52062136   6934.98694634 -10426.92448131
   2796.87712057 -10232.79945907   1851.62248252  -1482.33060811
 -12895.40241517   4839.18053619  -4799.00239508   2941.5090115
  -1127.55195405   2057.0167664     442.25262164   -392.2688166
  -8846.3691924   14327.79403689   9786.31317827   1998.46630002
  -4335.06616373   5993.43827195  -6463.15605187  -1970.10281507
  -3139.15742249  -8148.82368857 -10891.0251987    6477.89001397
   4290.59675236  -2439.46655276 -17828.96333103    -22.77132491
   1438.6700699    6857.62609341  -2486.53268362  -9100.86472565
  10769.96336679  -6183.89773815   1753.16957639  -4824.2985817
  12775.59848588  -1713.14176373  -6490.84335247 -15387.73951941]"
4,원격진료,"[-19031.72115371 -22262.26290228  15539.1621892   24529.33460075
   2095.88758013  19795.55192659   3682.37885917  -9111.17585344
  -1167.23734557  -2534.59567617   7341.32721072   5620.032238
   9227.79788187  17746.02687241  -3531.4516266   27933.83867578
 -10812.28481196 -11925.32539747  30475.98458052   2848.61623914
  -6558.26376532  -6683.2167581   -5534.35415552   3595.07099713
  17656.94762529 -10599.84473898  -4911.37667726   3024.06807549
  28456.05393988  -3477.17077921   9494.8390624    1454.12672152
  37774.32739354  -2313.35457032   4318.96755131  -1497.21630908
  15137.2581825    7853.86915981    131.97139827  28709.45814025
 -26618.26648379  -6036.27545926  16643.09343552 -14560.74309438
 -17619.95997047   9461.40311295 -35531.88074357   5622.4898234
   -223.29636552 -16623.81458156   9926.97773338  -4576.13199078
  -1439.74760214 -13534.15711202    868.15833894  14174.22108634
  30307.63949878   3628.93355541   5342.90539779 -22192.5110293
   4294.29161823 -22189.85314196 -10707.93458539 -14181.66244444
 -21808.05045855  24852.8484608   -2750.56632185   5883.25627571
   1835.48636855   6402.92006774    488.61597393 -11733.44193934
   4062.07670116  30706.18578166  28263.96842851   2017.5500576
  -9838.91957756  14401.59539775  -7682.00814565   4291.05772019
 -13899.02169904 -23407.73803549   1536.00875187  12478.25701455
   9882.54898278  -7179.42052099 -31586.63418577  -6624.7944013
   5804.63738366  14871.64231657   7379.96273895 -16262.21306733
  12211.19555658 -14509.03771816  -2143.58181404   5600.62175047
   8845.49576659  11112.01915631   5687.21445616 -16025.85821136]"
5,생체인식,"[ -7763.66082854 -30197.8587631    5897.43774863  12970.78333383
   -261.28913967   1889.22960262  -1718.36176167 -16340.06586481
 -10362.37685784  -1164.72713708  25357.44391341  -1836.32660941
  11778.94165419   2546.22456301  -3832.50746066  26077.24278294
  11240.18271228 -12204.88009253  30195.75994454  13755.54687031
  -1537.59091047    379.44338009   4921.40839323  -4566.86147527
  13429.82786668  -9593.74701171  -9898.1672778   -9948.9664429
   9070.35138733   4286.77420534  14043.99890003  -9291.50922879
  20607.22548166  -8521.01597132   2876.70336896 -15440.2107319
   8748.74266881  11678.8704934   -5439.52000079   6760.81503642
 -21370.14619673  -1432.25042914   5897.82462707 -11654.75355856
  -7797.77771492  12623.68907021 -26446.11867883  10438.37324541
  35385.43004659  -5152.97597065  10051.1945939   -7172.06837698
   2270.32522476  -9145.62328336   6485.03156099    725.61707953
  27567.25273961   8456.58067608   5359.90376913 -28301.55468479
  -5283.71620129 -21386.94976035  -3058.70568219  -7072.28819512
 -13813.65576128  35241.51231657   -245.508425    -4463.12355278
   9881.05252138 -10398.9475683  -18701.04262397  -3288.52281746
   2184.91514636  23602.48043657  18683.68375708  -8774.81093598
 -19841.47008721   -323.98963677  19892.17056677  -5220.77480517
 -20122.83097062  -2969.76675463   3677.00005876 -11546.90202188
  20609.98828728   7407.84115595 -26349.7872263  -19177.96174928
  -8342.12997018  11270.54468332   7805.34048858 -10212.55628753
  -8594.14807412   -120.9920339    2153.88083942   5327.92636274
   2158.97486337   9433.07779191  -6619.74701666   -106.79643245]"
6,키오스크,"[ -3155.56580682 -20777.88604251  14620.19388034  22646.49246463
    891.00251533   1543.44669094   2491.78418308 -15058.09182855
  -2508.44069615  11062.5888864   15047.54291341   -599.19829719
   1412.49085439  11141.82377615  -3645.96142664  25359.10636677
    577.68395281 -14382.24513538  15625.98730496  12989.56308296
  -9502.73397817   1081.54497014  -5118.50053692  -8037.02918619
  13674.88466417  -8963.63301087   1813.59024027   5057.4467729
   7721.84144313  -4383.95585242  10809.53429685  -6064.32712328
  13036.26790631   6082.84821374  12381.16336175   1156.90545298
   4091.74653656   3495.96444102   2971.59005463  12142.06274955
 -21571.98154693    109.40963376   4686.46808344  -4670.18177612
   6463.02223862   7729.33385725 -16167.90322973   7849.13594427
  10412.87907881  -5826.68490916   3337.2708543   -5979.00190307
   1130.28544217 -13551.72092126  -6135.52213758   9401.68840472
  18536.58150683  10284.34604682   4643.49866893 -18480.72261938
  -9437.38412049 -15342.41040699  -9726.66295445  -1244.25920615
 -16002.87578518  21283.44559451   -168.84457518  -4153.77624862
  20489.034551    -5684.56515549  -5016.178611   -14300.28301169
   6169.34249249  13000.38135463  11255.95663237  -2979.24127032
  -5745.50460441  -1929.75250845  17159.86358408  -2220.61652661
 -11732.55785368  -7712.986107     1238.43765465  -7605.09813221
   7359.282942     1083.446992   -22531.95850013 -11726.07505152
  -4633.41109923  13131.78820331   4339.14100988 -13471.5381205
   5765.21967478   1744.29353494   -772.48714865  -1419.36855437
  11301.78827638   4736.91197622  -2518.54565832  -7992.20593653]"
7,기생충,"[  -895.11681849  -5801.78160352  -3148.64228416   1532.63637435
   6853.22217581   2694.37672492   1066.78758637  -9091.44807604
  -7376.55104029 -12160.92026569 -10493.02264256   9262.43389444
  -4505.17987491  -5883.16744303  -9783.80801982   -727.57259019
   2617.0344548    3325.7992771   14240.63964188   5052.68369551
  -1783.95157884  11323.46532955 -12173.51180201  11050.63918132
  13204.81860963   3323.12015779  -8075.76122068   5418.64907327
   -580.99849985  -5886.60315626   6221.75715485   6402.89092608
  12936.1693233  -11295.59765665  14085.93377894   1554.82271383
  -4445.34264601  14495.33723367    710.71714912  10089.97432556
  -2553.3928397  -20270.5478908   14109.80495866 -11984.57897317
  -7030.67047004  -2953.8256992    5313.76794991 -13154.59261627
  -3848.31173687   1027.68990505  -2633.17565507  -3874.70095148
   4263.9370368    -444.14388567  -4683.64284214   3273.14018294
   9702.7929451    1540.55308534   6116.95408235 -19978.45928083
   8652.38656715  -2108.29079157  13523.09056657    364.94254719
 -12572.81114568  19479.16984086 -13246.183062    18652.96498461
  13583.191566     1018.74101889   6338.73144039  -7366.24617207
  -7721.96557952  16495.47968431  11121.86499507  -1727.79027157
  -2764.68333872   -961.46979372  -2116.96829758  17247.90402662
 -12901.82745576  -6333.98257462 -11187.67581879   3806.68991966
    314.07664948   7068.82728686 -12695.94136106   1800.30089926
  -4417.12629598   9889.35830287   -710.01993736  -6880.67124075
   4424.77744599   -417.93032218   1429.42317367   4210.70174717
   6238.66172082   6042.80392697   -972.03041398  -3606.20355382]"
8,희토류,"[-11300.91779457 -14910.86545669   6318.8297454    4586.72654306
   6324.24139681   8248.04187982 -11490.29272952 -20538.13022827
 -10571.67533049  -5262.52844274  15674.76662344  -3671.57257836
  12856.03771585   7415.47022175  -7983.78178749    720.360009
  12602.32201774   -722.2032152   10028.70071243   7478.33860744
   8302.25691105   4176.41652331   5361.34931394  -4756.91250442
    767.12011769    655.14629249 -15496.73861424   9988.76681487
  17589.71679249  -5456.15253284   2527.97711341   1826.03017161
   5930.46869609 -11486.24466982  -5339.51359969  -6360.3655749
  11408.94106985   1235.73829194  -9404.59913028  -3862.0905812
  -6240.89084831 -13730.44524257  10935.28172727 -18074.11086094
    600.17452624  11751.68716904  -7213.16992269  12955.37020418
   9352.34688178  -4820.76231348  11746.87057748  -6717.80440389
  -2290.77952486  -1132.06373303    234.42755689 -12650.33953021
   6246.81496126  -1318.60277909   7397.19091232  -6045.86045637
  -1912.87632289 -20925.93368188   3079.21339367   4287.92872542
  -7514.89887085  23243.27143124   2664.62003025  -1516.18262772
  -4706.41455917   1343.30209531 -11239.50995892   1691.72851345
   7635.49805928  18986.16254151  22864.0803228  -11810.91779411
 -32600.76501344   6225.16304406   4557.33890562   3881.16998652
 -12743.16910199    481.84570448 -16260.7088772   11042.50144481
  13823.89184171  -4834.24763771  -6613.12970975 -19572.68889836
  -6611.65219141  18893.59454972  15712.12350536  -6678.51957995
  -5124.08090717  -3547.83751308  -2960.69732705   9076.32408952
   4926.83836053   7147.56160175   9286.3066604   10311.17524724]"
9,진단키트,"[ -9285.6797944  -21400.5884954    3589.00207002  15874.69830453
   2275.16187194  11644.17588544  -4807.54884419  -4674.31434943
 -11860.1934776   -9309.28183412   6335.47803198  -1958.3561295
   9619.8042523   10029.2006054   -5446.07801346   6118.22500561
   2568.19969877   1718.96089841  21429.84307331  11743.7109024
   6467.34290442   3212.21653644  -3243.49948536   5355.41394133
   8392.24700269  -2711.00837995  -6542.20754323   6187.74081853
  12536.57623891  -1446.79784639   1823.55603695  -5407.83615134
  13450.6669117   -2225.67555153   5438.6625655   -1599.04275882
   4953.386422     9719.83982707    270.31172304  11031.411571
  -6700.2582116      66.46548345  15848.08540874  -5672.41279757
  -7388.80337159   2488.07412414 -19220.37132523   9460.28074502
   7705.78416372  -1233.74016583  11417.51017034   4726.95213187
  -1986.52718447  -5417.73007072   4125.60826404  -5891.03683057
   4416.150549     1343.96699782   2627.70651925 -21292.70669133
   3020.85883889 -13865.30638092 -11707.0209795    5945.59827892
 -14504.36637508  20040.26791653  -5734.44608555  -9988.39883323
  -6706.05321551   1747.13348596   2785.50518122   2573.02557491
  -8314.87366137  20062.01535141  19097.14399635  -1135.55104185
 -13558.27980611  10960.84731981  -4460.52122878  -6305.043607
  -5491.37320806  -3458.58599652   8955.92441916   5129.44664313
  10076.50835067    789.46178328 -17969.95839891 -16562.0890346
   -578.62034045  12537.67118355   5207.53353299  -9218.78480237
  -7994.3960269    6711.66078034  -1529.3046628    7202.46004829
  16096.73097891  12547.88411444   4499.82819373   -214.01189388]"
